labels,parents
TOPFRIO,
DISTAL,
LLANQUIHUE,
PAINE,
RANCAGUA,
SAN FERNANDO,
DPRP43,TOPFRIO
DRTW64,TOPFRIO
DRTW78,TOPFRIO
DRTW79,DISTAL
KFPH21,LLANQUIHUE
DRPV91,PAINE
JLJD87,PAINE
JSFP35,PAINE
JSHJ61,PAINE
KFPH27,PAINE
DPRP42,RANCAGUA
JLJD89,RANCAGUA
KFPH18,RANCAGUA
JLJD92,SAN FERNANDO
JLJD95,SAN FERNANDO
JLJD99,SAN FERNANDO
JLJF11,SAN FERNANDO
JSFP39,SAN FERNANDO
JSFP40,SAN FERNANDO
97 km/h,DPRP43
103 km/h,DRTW64
105 km/h,DRTW78
101.0 km/h,DRTW79
105.0 km/h,KFPH21
128 km/h,DRPV91
114 km/h,JLJD87
120 km/h,JSFP35
118 km/h,JSHJ61
117 km/h,KFPH27
101 km/h,DPRP42
97.0 km/h,JLJD89
121 km/h,KFPH18
104 km/h,JLJD92
113 km/h,JLJD95
109 km/h,JLJD99
112 km/h,JLJF11
108 km/h,JSFP39
113.0 km/h,JSFP40

